,index,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,55,22021,203507,0022100001,2021-10-19,MIL vs. BKN,W,31,12,25,0.48,1,4,0.25,7,9,0.778,5,9,14,7,1,2,4,4,32,25,1
1,54,22021,203507,0022100015,2021-10-21,MIL @ MIA,L,23,4,11,0.364,1,3,0.333,6,10,0.6,1,9,10,2,3,0,2,3,15,-25,1
2,53,22021,203507,0022100032,2021-10-23,MIL @ SAS,W,30,7,15,0.467,1,2,0.5,6,8,0.75,0,8,8,8,0,3,5,4,21,19,1
3,52,22021,203507,0022100042,2021-10-25,MIL @ IND,W,36,10,18,0.556,0,2,0.0,10,13,0.769,1,9,10,9,1,2,2,2,30,14,1
4,51,22021,203507,0022100060,2021-10-27,MIL vs. MIN,L,35,15,23,0.652,3,6,0.5,7,9,0.778,4,12,16,7,0,3,2,1,40,9,1
5,50,22021,203507,0022100085,2021-10-30,MIL vs. SAS,L,34,11,18,0.611,0,3,0.0,6,11,0.545,0,13,13,3,0,0,7,5,28,-3,1
6,49,22021,203507,0022100091,2021-10-31,MIL vs. UTA,L,35,10,20,0.5,3,11,0.273,2,2,1.0,2,5,7,6,2,2,2,3,25,-10,1
7,48,22021,203507,0022100103,2021-11-02,MIL @ DET,W,27,9,16,0.563,3,7,0.429,7,7,1.0,0,8,8,9,0,4,3,2,28,22,1
8,47,22021,203507,0022100128,2021-11-05,MIL vs. NYK,L,31,7,17,0.412,2,7,0.286,9,11,0.818,1,6,7,4,2,0,3,3,25,-5,1
9,46,22021,203507,0022100142,2021-11-07,MIL @ WAS,L,39,12,26,0.462,0,4,0.0,5,12,0.417,6,12,18,5,3,1,3,4,29,-6,1
10,45,22021,203507,0022100155,2021-11-09,MIL @ PHI,W,36,12,26,0.462,0,2,0.0,7,13,0.538,1,15,16,4,0,2,0,1,31,13,1
11,44,22021,203507,0022100161,2021-11-10,MIL @ NYK,W,38,5,15,0.333,2,5,0.4,3,4,0.75,2,13,15,8,1,2,3,4,15,21,1
12,43,22021,203507,0022100193,2021-11-14,MIL @ ATL,L,34,9,21,0.429,1,5,0.2,7,12,0.583,1,4,5,6,1,1,3,5,26,-9,1
13,42,22021,203507,0022100219,2021-11-17,MIL vs. LAL,W,36,18,23,0.783,3,4,0.75,8,11,0.727,2,7,9,3,1,1,4,1,47,1,1
14,41,22021,203507,0022100234,2021-11-19,MIL vs. OKC,W,36,6,16,0.375,0,4,0.0,9,11,0.818,0,19,19,7,2,4,5,5,21,23,1
15,40,22021,203507,0022100244,2021-11-20,MIL vs. ORL,W,30,8,16,0.5,1,3,0.333,15,23,0.652,2,18,20,5,2,3,5,4,32,15,1
16,39,22021,203507,0022100258,2021-11-22,MIL vs. ORL,W,24,4,12,0.333,0,4,0.0,4,6,0.667,2,6,8,9,1,2,1,3,12,38,1
17,38,22021,203507,0022100273,2021-11-24,MIL vs. DET,W,31,12,17,0.706,1,4,0.25,8,10,0.8,2,5,7,5,2,2,1,2,33,25,1
18,37,22021,203507,0022100288,2021-11-26,MIL @ DEN,W,30,10,13,0.769,1,1,1.0,3,9,0.333,0,13,13,7,0,1,1,0,24,18,1
19,36,22021,203507,0022100301,2021-11-28,MIL @ IND,W,33,10,15,0.667,0,2,0.0,6,10,0.6,4,9,13,3,0,1,5,1,26,12,1
20,35,22021,203507,0022100324,2021-12-01,MIL vs. CHA,W,38,15,24,0.625,1,4,0.25,9,13,0.692,3,9,12,9,1,0,6,3,40,4,1
21,34,22021,203507,0022100358,2021-12-06,MIL vs. CLE,W,27,9,19,0.474,3,3,1.0,6,7,0.857,3,9,12,2,0,1,4,5,27,14,1
22,33,22021,203507,0022100370,2021-12-08,MIL @ MIA,L,33,4,13,0.308,0,2,0.0,7,12,0.583,1,5,6,4,1,1,3,3,15,-11,1
23,32,22021,203507,0022100386,2021-12-10,MIL @ HOU,W,37,15,20,0.75,1,3,0.333,10,14,0.714,6,11,17,5,3,2,5,5,41,4,1
24,31,22021,203507,0022100398,2021-12-12,MIL @ NYK,W,32,7,16,0.438,0,2,0.0,6,8,0.75,3,7,10,11,1,1,3,4,20,9,1
25,30,22021,203507,0022100408,2021-12-13,MIL @ BOS,L,34,7,14,0.5,0,3,0.0,6,8,0.75,1,7,8,3,1,0,4,2,20,-19,1
26,29,22021,203507,0022100489,2021-12-25,MIL vs. BOS,W,30,13,23,0.565,0,2,0.0,10,15,0.667,3,9,12,5,0,2,2,4,36,-1,1
27,28,22021,203507,0022100508,2021-12-28,MIL @ ORL,W,30,10,19,0.526,1,4,0.25,7,10,0.7,0,6,6,6,0,1,2,5,28,13,1
28,27,22021,203507,0022100526,2021-12-30,MIL @ ORL,W,31,13,22,0.591,1,4,0.25,6,6,1.0,2,10,12,5,2,2,4,4,33,17,1
29,26,22021,203507,0022100539,2022-01-01,MIL vs. NOP,W,32,12,18,0.667,2,4,0.5,9,12,0.75,1,15,16,10,2,0,4,4,35,25,1
30,25,22021,203507,0022100556,2022-01-03,MIL vs. DET,L,36,11,21,0.524,0,4,0.0,9,13,0.692,1,9,10,7,1,0,3,2,31,-12,1
31,24,22021,203507,0022100583,2022-01-07,MIL @ BKN,W,27,11,17,0.647,2,5,0.4,7,10,0.7,1,6,7,9,0,0,4,3,31,16,1
32,23,22021,203507,0022100592,2022-01-08,MIL @ CHA,L,37,11,20,0.55,3,6,0.5,18,20,0.9,2,10,12,3,1,2,3,5,43,-13,1
33,22,22021,203507,0022100607,2022-01-10,MIL @ CHA,L,35,10,18,0.556,1,5,0.2,5,8,0.625,1,12,13,8,1,1,6,2,26,6,1
34,21,22021,203507,0022100627,2022-01-13,MIL vs. GSW,W,30,11,17,0.647,0,2,0.0,8,12,0.667,2,10,12,11,0,3,5,2,30,22,1
35,20,22021,203507,0022100641,2022-01-15,MIL vs. TOR,L,35,6,17,0.353,1,3,0.333,17,17,1.0,0,6,6,4,0,2,4,5,30,-9,1
36,19,22021,203507,0022100660,2022-01-17,MIL @ ATL,L,37,8,20,0.4,1,3,0.333,10,14,0.714,1,5,6,6,1,1,5,4,27,-17,1
37,18,22021,203507,0022100674,2022-01-19,MIL vs. MEM,W,31,12,25,0.48,2,4,0.5,7,8,0.875,3,12,15,7,2,1,5,6,33,10,1
38,17,22021,203507,0022100690,2022-01-21,MIL vs. CHI,W,37,11,23,0.478,0,3,0.0,8,12,0.667,1,11,12,3,1,2,3,3,30,1,1
39,16,22021,203507,0022100722,2022-01-26,MIL @ CLE,L,29,7,13,0.538,1,3,0.333,11,12,0.917,1,8,9,3,1,0,7,3,26,-11,1
40,15,22021,203507,0022100744,2022-01-28,MIL vs. NYK,W,34,12,19,0.632,2,6,0.333,12,16,0.75,3,10,13,5,1,0,4,5,38,19,1
41,14,22021,203507,0022100756,2022-01-30,MIL vs. DEN,L,31,9,19,0.474,1,5,0.2,10,15,0.667,2,7,9,2,1,1,1,1,29,-15,1
42,13,22021,203507,0022100768,2022-02-01,MIL vs. WAS,W,38,14,21,0.667,0,3,0.0,5,5,1.0,2,13,15,11,0,2,2,3,33,14,1
43,12,22021,203507,0022100800,2022-02-05,MIL @ POR,W,25,7,12,0.583,4,7,0.571,11,15,0.733,1,8,9,6,0,1,1,1,29,28,1
44,11,22021,203507,0022100809,2022-02-06,MIL @ LAC,W,31,8,15,0.533,2,3,0.667,10,12,0.833,2,8,10,5,1,2,2,2,28,14,1
45,10,22021,203507,0022100822,2022-02-08,MIL @ LAL,W,35,17,20,0.85,2,2,1.0,8,13,0.615,4,10,14,8,1,2,0,5,44,23,1
46,9,22021,203507,0022100836,2022-02-10,MIL @ PHX,L,30,5,14,0.357,0,3,0.0,8,14,0.571,0,7,7,8,0,1,3,1,18,-18,1
47,8,22021,203507,0022100870,2022-02-15,MIL vs. IND,W,36,17,21,0.81,2,3,0.667,14,18,0.778,4,10,14,4,0,0,3,3,50,7,1
48,7,22021,203507,0022100887,2022-02-17,MIL vs. PHI,L,39,13,23,0.565,2,4,0.5,4,5,0.8,4,7,11,9,3,1,3,4,32,-9,1
49,6,22021,203507,0022100910,2022-02-26,MIL vs. BKN,L,36,8,20,0.4,1,6,0.167,12,16,0.75,0,14,14,6,1,0,4,2,29,-8,1
50,5,22021,203507,0022100924,2022-02-28,MIL vs. CHA,W,28,6,10,0.6,0,2,0.0,14,14,1.0,3,13,16,6,2,4,3,3,26,25,1
51,4,22021,203507,0022100936,2022-03-02,MIL vs. MIA,W,34,9,20,0.45,1,4,0.25,9,11,0.818,4,13,17,5,2,1,4,4,28,7,1
52,3,22021,203507,0022100949,2022-03-04,MIL @ CHI,W,39,12,22,0.545,0,2,0.0,10,19,0.526,4,12,16,5,2,1,4,4,34,15,1
53,2,22021,203507,0022100961,2022-03-06,MIL vs. PHX,W,31,8,13,0.615,0,1,0.0,3,6,0.5,3,10,13,6,1,3,3,6,19,-8,1
54,1,22021,203507,0022100979,2022-03-08,MIL @ OKC,W,28,13,19,0.684,4,4,1.0,9,13,0.692,1,6,7,7,3,1,1,3,39,18,1
55,0,22021,203507,0022100984,2022-03-09,MIL vs. ATL,W,37,15,22,0.682,1,5,0.2,12,17,0.706,3,9,12,5,1,0,2,4,43,3,1
