,index,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,52,22021,203954,0022100009,2021-10-20,PHI @ NOP,W,26,8,17,0.471,2,3,0.667,4,6,0.667,1,5,6,5,1,1,1,3,22,4,1
1,51,22021,203954,0022100021,2021-10-22,PHI vs. BKN,L,30,6,15,0.4,2,5,0.4,5,6,0.833,2,6,8,4,2,4,3,4,19,-4,1
2,50,22021,203954,0022100038,2021-10-24,PHI @ OKC,W,33,8,15,0.533,2,5,0.4,4,6,0.667,1,8,9,6,1,3,0,2,22,10,1
3,49,22021,203954,0022100050,2021-10-26,PHI @ NYK,L,30,2,7,0.286,0,2,0.0,10,11,0.909,1,5,6,3,1,1,5,1,14,-8,1
4,48,22021,203954,0022100065,2021-10-28,PHI vs. DET,W,31,8,19,0.421,1,4,0.25,13,15,0.867,5,13,18,3,1,0,4,2,30,14,1
5,47,22021,203954,0022100082,2021-10-30,PHI vs. ATL,W,30,5,13,0.385,1,4,0.25,8,9,0.889,0,5,5,2,0,1,2,1,19,23,1
6,46,22021,203954,0022100111,2021-11-03,PHI vs. CHI,W,34,6,18,0.333,1,5,0.2,5,9,0.556,1,8,9,7,1,1,4,3,18,10,1
7,45,22021,203954,0022100119,2021-11-04,PHI @ DET,W,30,6,15,0.4,0,0,0.0,7,8,0.875,4,5,9,3,1,0,2,3,19,-9,1
8,44,22021,203954,0022100135,2021-11-06,PHI @ CHI,W,34,11,19,0.579,4,5,0.8,4,7,0.571,1,15,16,3,0,2,6,1,30,16,1
9,43,22021,203954,0022100292,2021-11-27,PHI vs. MIN,L,45,12,23,0.522,2,4,0.5,16,21,0.762,2,12,14,3,1,2,4,4,42,11,1
10,42,22021,203954,0022100305,2021-11-29,PHI vs. ORL,W,30,4,16,0.25,1,2,0.5,7,10,0.7,4,9,13,5,0,2,3,4,16,1,1
11,41,22021,203954,0022100322,2021-12-01,PHI @ BOS,L,33,3,17,0.176,1,3,0.333,6,10,0.6,4,14,18,6,2,3,0,1,13,-9,1
12,40,22021,203954,0022100335,2021-12-03,PHI @ ATL,W,36,10,23,0.435,1,3,0.333,7,8,0.875,1,11,12,4,1,2,3,4,28,15,1
13,39,22021,203954,0022100353,2021-12-06,PHI @ CHA,W,41,15,20,0.75,1,2,0.5,12,14,0.857,1,14,15,7,1,0,3,3,43,7,1
14,38,22021,203954,0022100366,2021-12-08,PHI @ CHA,W,33,8,17,0.471,1,2,0.5,15,19,0.789,1,7,8,4,1,0,1,4,32,-1,1
15,37,22021,203954,0022100379,2021-12-09,PHI vs. UTA,L,30,8,18,0.444,1,4,0.25,2,2,1.0,1,8,9,2,3,1,1,4,19,-3,1
16,36,22021,203954,0022100396,2021-12-11,PHI vs. GSW,W,33,7,16,0.438,1,4,0.25,11,11,1.0,0,9,9,4,2,0,4,3,26,-9,1
17,35,22021,203954,0022100419,2021-12-15,PHI vs. MIA,L,37,5,13,0.385,1,5,0.2,6,6,1.0,1,13,14,5,1,1,1,1,17,7,1
18,34,22021,203954,0022100429,2021-12-16,PHI @ BKN,L,33,11,20,0.55,1,3,0.333,9,11,0.818,0,9,9,6,1,0,2,4,32,-5,1
19,33,22021,203954,0022100457,2021-12-20,PHI @ BOS,W,40,14,27,0.519,1,5,0.2,12,14,0.857,0,10,10,5,2,4,5,3,41,4,1
20,32,22021,203954,0022100478,2021-12-23,PHI vs. ATL,L,36,6,17,0.353,2,2,1.0,9,10,0.9,2,8,10,2,1,2,2,1,23,-11,1
21,31,22021,203954,0022100495,2021-12-26,PHI @ WAS,W,31,12,17,0.706,2,5,0.4,10,11,0.909,2,11,13,1,1,2,1,1,36,25,1
22,30,22021,203954,0022100510,2021-12-28,PHI @ TOR,W,34,11,16,0.688,2,3,0.667,12,14,0.857,2,9,11,4,1,1,2,2,36,-4,1
23,29,22021,203954,0022100525,2021-12-30,PHI @ BKN,W,32,11,23,0.478,3,5,0.6,9,12,0.75,2,5,7,1,3,1,2,1,34,0,1
24,28,22021,203954,0022100552,2022-01-03,PHI vs. HOU,W,30,12,20,0.6,1,2,0.5,6,7,0.857,5,10,15,10,1,2,6,2,31,20,1
25,27,22021,203954,0022100568,2022-01-05,PHI @ ORL,W,33,12,22,0.545,0,2,0.0,7,10,0.7,3,2,5,4,1,1,6,4,31,1,1
26,26,22021,203954,0022100582,2022-01-07,PHI vs. SAS,W,32,10,23,0.435,0,1,0.0,11,15,0.733,3,9,12,7,0,1,4,1,31,26,1
27,25,22021,203954,0022100711,2022-01-10,PHI @ HOU,W,26,9,16,0.563,0,1,0.0,13,13,1.0,4,4,8,6,1,2,2,3,31,12,1
28,24,22021,203954,0022100619,2022-01-12,PHI vs. CHA,L,33,10,17,0.588,1,3,0.333,10,14,0.714,1,5,6,3,0,1,7,3,31,-16,1
29,23,22021,203954,0022100635,2022-01-14,PHI vs. BOS,W,32,7,15,0.467,2,7,0.286,9,9,1.0,1,12,13,6,1,1,2,2,25,20,1
30,22,22021,203954,0022100645,2022-01-15,PHI @ MIA,W,36,12,22,0.545,0,3,0.0,8,11,0.727,3,9,12,3,1,1,2,2,32,16,1
31,21,22021,203954,0022100656,2022-01-17,PHI @ WAS,L,29,10,20,0.5,3,4,0.75,9,10,0.9,2,6,8,1,0,0,4,4,32,-15,1
32,20,22021,203954,0022100668,2022-01-19,PHI vs. ORL,W,27,17,23,0.739,1,4,0.25,15,17,0.882,1,11,12,2,1,3,2,3,50,24,1
33,19,22021,203954,0022100686,2022-01-21,PHI vs. LAC,L,37,15,25,0.6,3,3,1.0,7,10,0.7,5,8,13,6,0,1,5,4,40,-6,1
34,18,22021,203954,0022100704,2022-01-23,PHI @ SAS,W,32,16,32,0.5,1,3,0.333,5,6,0.833,3,9,12,6,0,1,1,2,38,8,1
35,17,22021,203954,0022100454,2022-01-25,PHI vs. NOP,W,33,12,24,0.5,0,3,0.0,18,20,0.9,6,8,14,4,0,4,3,5,42,5,1
36,16,22021,203954,0022100733,2022-01-27,PHI vs. LAL,W,35,9,20,0.45,0,5,0.0,8,13,0.615,1,8,9,7,1,2,4,2,26,21,1
37,15,22021,203954,0022100747,2022-01-29,PHI vs. SAC,W,35,10,18,0.556,2,5,0.4,14,18,0.778,0,12,12,6,0,1,4,0,36,5,1
38,14,22021,203954,0022100774,2022-02-02,PHI vs. WAS,L,35,11,27,0.407,0,3,0.0,5,8,0.625,3,11,14,6,1,1,0,3,27,4,1
39,13,22021,203954,0022100791,2022-02-04,PHI @ DAL,L,33,7,17,0.412,2,5,0.4,11,14,0.786,2,11,13,4,2,3,1,2,27,-17,1
40,12,22021,203954,0022100802,2022-02-06,PHI @ CHI,W,32,14,23,0.609,2,4,0.5,10,11,0.909,1,9,10,3,0,1,4,4,40,11,1
41,11,22021,203954,0022100815,2022-02-08,PHI vs. PHX,L,33,13,25,0.52,2,8,0.25,6,6,1.0,1,11,12,3,3,0,2,3,34,-4,1
42,10,22021,203954,0022100840,2022-02-11,PHI vs. OKC,W,35,8,25,0.32,1,7,0.143,8,11,0.727,4,15,19,4,1,5,4,1,25,14,1
43,9,22021,203954,0022100849,2022-02-12,PHI vs. CLE,W,33,11,22,0.5,4,5,0.8,14,15,0.933,1,13,14,10,3,0,4,4,40,24,1
44,8,22021,203954,0022100869,2022-02-15,PHI vs. BOS,L,26,3,9,0.333,0,1,0.0,13,16,0.813,0,9,9,6,0,1,3,2,19,-34,1
45,7,22021,203954,0022100887,2022-02-17,PHI @ MIL,W,37,14,21,0.667,3,4,0.75,11,14,0.786,2,12,14,5,1,0,6,5,42,13,1
46,6,22021,203954,0022100901,2022-02-25,PHI @ MIN,W,31,10,18,0.556,3,5,0.6,11,13,0.846,0,10,10,3,1,0,2,3,34,25,1
47,5,22021,203954,0022100912,2022-02-27,PHI @ NYK,W,36,7,18,0.389,0,4,0.0,23,27,0.852,0,9,9,3,1,4,2,3,37,18,1
48,4,22021,203954,0022100934,2022-03-02,PHI vs. NYK,W,35,7,15,0.467,2,4,0.5,11,13,0.846,1,11,12,4,1,2,4,2,27,22,1
49,3,22021,203954,0022100947,2022-03-04,PHI vs. CLE,W,36,7,14,0.5,0,4,0.0,8,9,0.889,2,7,9,5,2,0,2,4,22,-1,1
50,2,22021,203954,0022100956,2022-03-05,PHI @ MIA,L,36,4,15,0.267,0,6,0.0,14,14,1.0,5,10,15,2,2,0,4,3,22,-12,1
51,1,22021,203954,0022100969,2022-03-07,PHI vs. CHI,W,36,15,27,0.556,1,3,0.333,12,16,0.75,3,11,14,2,2,3,2,2,43,14,1
52,0,22021,203954,0022100993,2022-03-10,PHI vs. BKN,,18,3,9,0.333,0,0,0.0,15,19,0.789,4,4,8,0,0,0,2,3,21,-19,0
