,index,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,53,22021,201950,0022100001,2021-10-19,MIL vs. BKN,W,18,5,7,0.714,2,4,0.5,0,0,0.0,1,0,1,1,1,0,0,0,12,17,1
1,52,22021,201950,0022100032,2021-10-23,MIL @ SAS,W,25,6,9,0.667,3,4,0.75,1,2,0.5,1,3,4,5,0,0,5,3,16,6,1
2,51,22021,201950,0022100128,2021-11-05,MIL vs. NYK,L,20,3,8,0.375,1,3,0.333,3,4,0.75,0,4,4,3,0,0,5,2,10,-12,1
3,50,22021,201950,0022100142,2021-11-07,MIL @ WAS,L,30,6,16,0.375,2,7,0.286,0,0,0.0,1,4,5,4,1,0,2,1,14,0,1
4,49,22021,201950,0022100155,2021-11-09,MIL @ PHI,W,31,4,14,0.286,0,3,0.0,0,0,0.0,0,7,7,6,2,2,2,3,8,9,1
5,48,22021,201950,0022100161,2021-11-10,MIL @ NYK,W,30,7,16,0.438,4,6,0.667,0,0,0.0,0,2,2,6,1,0,1,1,18,9,1
6,47,22021,201950,0022100175,2021-11-12,MIL @ BOS,L,41,6,25,0.24,1,12,0.083,4,4,1.0,1,5,6,13,3,0,3,1,17,-9,1
7,46,22021,201950,0022100193,2021-11-14,MIL @ ATL,L,35,8,17,0.471,1,4,0.25,2,2,1.0,0,1,1,8,2,1,4,2,19,-17,1
8,45,22021,201950,0022100219,2021-11-17,MIL vs. LAL,W,39,3,13,0.231,1,6,0.167,1,2,0.5,0,6,6,8,4,0,5,3,8,-4,1
9,44,22021,201950,0022100234,2021-11-19,MIL vs. OKC,W,36,4,11,0.364,1,4,0.25,1,2,0.5,0,2,2,4,3,0,2,2,10,7,1
10,43,22021,201950,0022100244,2021-11-20,MIL vs. ORL,W,30,4,12,0.333,2,3,0.667,1,2,0.5,2,3,5,5,1,1,3,3,11,15,1
11,42,22021,201950,0022100258,2021-11-22,MIL vs. ORL,W,23,8,14,0.571,2,5,0.4,0,2,0.0,1,5,6,4,2,0,0,2,18,37,1
12,41,22021,201950,0022100273,2021-11-24,MIL vs. DET,W,34,8,16,0.5,3,7,0.429,3,3,1.0,0,8,8,6,0,1,3,3,22,29,1
13,40,22021,201950,0022100288,2021-11-26,MIL @ DEN,W,33,7,10,0.7,1,3,0.333,1,2,0.5,1,4,5,6,0,1,2,0,16,28,1
14,39,22021,201950,0022100301,2021-11-28,MIL @ IND,W,31,11,21,0.524,1,7,0.143,0,0,0.0,2,5,7,9,1,0,1,1,23,23,1
15,38,22021,201950,0022100324,2021-12-01,MIL vs. CHA,W,38,5,11,0.455,1,3,0.333,0,0,0.0,0,4,4,7,2,1,1,3,11,-5,1
16,37,22021,201950,0022100329,2021-12-02,MIL @ TOR,L,37,10,19,0.526,4,5,0.8,2,5,0.4,2,4,6,8,0,1,5,5,26,3,1
17,36,22021,201950,0022100344,2021-12-04,MIL vs. MIA,W,32,6,14,0.429,2,6,0.333,2,2,1.0,1,4,5,7,0,1,2,2,16,26,1
18,35,22021,201950,0022100358,2021-12-06,MIL vs. CLE,W,37,9,15,0.6,2,3,0.667,0,0,0.0,1,6,7,8,2,1,5,1,20,12,1
19,34,22021,201950,0022100370,2021-12-08,MIL @ MIA,L,37,12,17,0.706,3,7,0.429,0,0,0.0,0,4,4,4,2,1,4,4,27,-11,1
20,33,22021,201950,0022100386,2021-12-10,MIL @ HOU,W,35,3,8,0.375,0,2,0.0,6,6,1.0,1,2,3,7,1,1,2,4,12,10,1
21,32,22021,201950,0022100398,2021-12-12,MIL @ NYK,W,34,6,11,0.545,1,2,0.5,0,0,0.0,2,2,4,5,1,0,2,0,13,6,1
22,31,22021,201950,0022100408,2021-12-13,MIL @ BOS,L,33,8,16,0.5,2,3,0.667,2,3,0.667,0,0,0,8,3,0,0,0,20,-7,1
23,30,22021,201950,0022100421,2021-12-15,MIL vs. IND,W,33,12,18,0.667,1,2,0.5,1,4,0.25,2,2,4,14,1,0,2,1,26,19,1
24,29,22021,201950,0022100438,2021-12-17,MIL @ NOP,L,44,18,36,0.5,1,8,0.125,3,4,0.75,1,4,5,5,2,0,4,2,40,-2,1
25,28,22021,201950,0022100473,2021-12-22,MIL vs. HOU,W,31,10,17,0.588,2,5,0.4,2,3,0.667,1,3,4,10,2,0,2,2,24,27,1
26,27,22021,201950,0022100481,2021-12-23,MIL @ DAL,W,34,8,14,0.571,3,5,0.6,5,7,0.714,2,5,7,7,3,0,4,2,24,2,1
27,26,22021,201950,0022100489,2021-12-25,MIL vs. BOS,W,37,8,14,0.571,1,4,0.25,0,0,0.0,0,5,5,3,4,1,2,3,17,19,1
28,25,22021,201950,0022100508,2021-12-28,MIL @ ORL,W,34,8,13,0.615,1,3,0.333,1,2,0.5,1,3,4,10,1,0,2,3,18,4,1
29,24,22021,201950,0022100526,2021-12-30,MIL @ ORL,W,33,8,11,0.727,3,4,0.75,6,6,1.0,1,4,5,7,3,2,2,0,25,9,1
30,23,22021,201950,0022100539,2022-01-01,MIL vs. NOP,W,33,8,14,0.571,1,3,0.333,4,4,1.0,1,3,4,6,2,2,4,0,21,18,1
