,index,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,54,22021,203114,0022100001,2021-10-19,MIL vs. BKN,W,31,8,17,0.471,1,4,0.25,3,4,0.75,0,9,9,3,1,0,1,3,20,20,1
1,53,22021,203114,0022100015,2021-10-21,MIL @ MIA,L,23,4,14,0.286,1,6,0.167,1,1,1.0,0,2,2,4,2,0,4,2,10,-26,1
2,52,22021,203114,0022100032,2021-10-23,MIL @ SAS,W,35,9,17,0.529,2,7,0.286,8,9,0.889,0,2,2,3,2,0,6,0,28,-6,1
3,51,22021,203114,0022100042,2021-10-25,MIL @ IND,W,32,9,17,0.529,2,3,0.667,7,8,0.875,1,4,5,7,1,1,5,0,27,8,1
4,50,22021,203114,0022100060,2021-10-27,MIL vs. MIN,L,34,6,16,0.375,1,8,0.125,3,4,0.75,2,3,5,5,3,0,1,4,16,-4,1
5,49,22021,203114,0022100085,2021-10-30,MIL vs. SAS,L,33,8,21,0.381,2,7,0.286,1,1,1.0,0,5,5,5,3,0,4,4,19,-9,1
6,48,22021,203114,0022100219,2021-11-17,MIL vs. LAL,W,30,4,12,0.333,2,6,0.333,6,7,0.857,0,5,5,6,0,1,0,2,16,13,1
7,47,22021,203114,0022100234,2021-11-19,MIL vs. OKC,W,32,5,13,0.385,3,8,0.375,3,3,1.0,0,8,8,4,1,0,4,1,16,12,1
8,46,22021,203114,0022100244,2021-11-20,MIL vs. ORL,W,30,4,9,0.444,3,5,0.6,2,4,0.5,0,5,5,8,0,0,1,2,13,5,1
9,45,22021,203114,0022100258,2021-11-22,MIL vs. ORL,W,20,4,6,0.667,1,3,0.333,3,3,1.0,0,2,2,2,2,0,1,0,12,20,1
10,44,22021,203114,0022100273,2021-11-24,MIL vs. DET,W,28,5,17,0.294,1,4,0.25,0,0,0.0,1,8,9,4,2,0,3,0,11,1,1
11,43,22021,203114,0022100288,2021-11-26,MIL @ DEN,W,31,5,11,0.455,4,9,0.444,3,3,1.0,0,5,5,7,1,0,6,2,17,6,1
12,42,22021,203114,0022100301,2021-11-28,MIL @ IND,W,30,6,13,0.462,1,5,0.2,1,1,1.0,0,5,5,5,2,0,3,3,14,14,1
13,41,22021,203114,0022100324,2021-12-01,MIL vs. CHA,W,33,6,18,0.333,4,8,0.5,5,5,1.0,1,5,6,5,0,0,1,3,21,4,1
14,40,22021,203114,0022100329,2021-12-02,MIL @ TOR,L,35,8,20,0.4,2,5,0.4,4,5,0.8,1,7,8,2,0,1,3,1,22,2,1
15,39,22021,203114,0022100344,2021-12-04,MIL vs. MIA,W,30,9,18,0.5,3,8,0.375,1,1,1.0,1,5,6,9,0,0,4,2,22,14,1
16,38,22021,203114,0022100358,2021-12-06,MIL vs. CLE,W,36,7,16,0.438,0,4,0.0,7,8,0.875,0,3,3,8,0,0,3,3,21,12,1
17,37,22021,203114,0022100370,2021-12-08,MIL @ MIA,L,35,5,13,0.385,4,8,0.5,6,6,1.0,3,3,6,4,0,0,6,4,20,-15,1
